Date,Revenue
2021-01-02,0.0
2021-01-03,-0.29235551
2021-01-04,-0.327771797
2021-01-05,-0.339987124
2021-01-06,-0.124887516
2021-01-07,-0.491589564
2021-01-08,-1.255249811
2021-01-09,-1.896278894
2021-01-10,-1.747259385
2021-01-11,-2.129557666
2021-01-12,-2.151421873
2021-01-13,-3.228636996
2021-01-14,-2.82261611
2021-01-15,-3.609712765
2021-01-16,-3.398875124
2021-01-17,-2.86742462
2021-01-18,-2.714606918
2021-01-19,-2.021083992
2021-01-20,-1.126014167
2021-01-21,-0.845545147
2021-01-22,-1.187849066
2021-01-23,-1.59336888
2021-01-24,-2.233633574
2021-01-25,-2.982968143
2021-01-26,-3.749676183
2021-01-27,-4.068317954
2021-01-28,-4.172911745
2021-01-29,-4.423298703
2021-01-30,-3.773237316
2021-01-31,-3.130365934
2021-02-01,-3.066997384
2021-02-02,-2.22210903
2021-02-03,-1.354650789
2021-02-04,-0.4158986
2021-02-05,0.088848229
2021-02-06,0.986810894
2021-02-07,1.072086118
2021-02-08,0.57528878
2021-02-09,0.778475881
2021-02-10,0.73196193
2021-02-11,1.267407631
2021-02-12,1.277651113
2021-02-13,1.929653231
2021-02-14,1.889880294
2021-02-15,2.117565859
2021-02-16,1.508082592
2021-02-17,1.363420928
2021-02-18,1.5739201
2021-02-19,2.230154152
2021-02-20,2.300218825
2021-02-21,2.192618171
2021-02-22,1.688464709
2021-02-23,0.972800561
2021-02-24,0.111183529
2021-02-25,-0.760918283
2021-02-26,-1.136513527
2021-02-27,-1.009243327
2021-02-28,-0.796619163
2021-03-01,-1.059523171
2021-03-02,-1.356564471
2021-03-03,-0.820546228
2021-03-04,-0.210374093
2021-03-05,-0.719979082
2021-03-06,-0.975571569
2021-03-07,-0.897997487
2021-03-08,-1.482087197
2021-03-09,-1.718531822
2021-03-10,-1.944984194
2021-03-11,-2.081631254
2021-03-12,-1.677598826
2021-03-13,-0.857027501
2021-03-14,0.138078077
2021-03-15,0.292251765
2021-03-16,0.715324746
2021-03-17,0.999854011
2021-03-18,1.382473235
2021-03-19,1.779406713
2021-03-20,2.527373277
2021-03-21,3.035813107
2021-03-22,3.162815518
2021-03-23,2.567444507
2021-03-24,1.699930964
2021-03-25,1.619725289
2021-03-26,2.15744872
2021-03-27,3.336191289
2021-03-28,3.823949445
2021-03-29,4.295426063
2021-03-30,4.646727181
2021-03-31,4.178092741
2021-04-01,3.513940459
2021-04-02,3.412366141
2021-04-03,3.310757851
2021-04-04,3.821666585
2021-04-05,4.630439832
2021-04-06,5.326769228
2021-04-07,5.225890661
2021-04-08,5.043154719
2021-04-09,5.145071132
2021-04-10,5.220071263
2021-04-11,5.850376781
2021-04-12,6.09648893
2021-04-13,6.12546089
2021-04-14,6.823092411
2021-04-15,6.44069962
2021-04-16,6.390622651
2021-04-17,5.865701516
2021-04-18,5.354234968
2021-04-19,5.273785113
2021-04-20,5.057449711
2021-04-21,4.834785462
2021-04-22,4.140516377
2021-04-23,3.563623506
2021-04-24,3.616584573
2021-04-25,3.698357666
2021-04-26,3.621707249
2021-04-27,3.937939575
2021-04-28,5.171705719
2021-04-29,5.203901617
2021-04-30,5.361313731
2021-05-01,4.98890073
2021-05-02,4.770444154
2021-05-03,4.900361231
2021-05-04,5.053239206
2021-05-05,6.006571435
2021-05-06,5.930324883
2021-05-07,5.715437659
2021-05-08,5.629035991
2021-05-09,6.489862482
2021-05-10,6.712767987
2021-05-11,7.197059269
2021-05-12,7.036166876
2021-05-13,7.1004112
2021-05-14,7.97131468
2021-05-15,8.965328681
2021-05-16,8.802083408
2021-05-17,9.198883337
2021-05-18,9.647997239
2021-05-19,10.64242361
2021-05-20,10.87305828
2021-05-21,10.86136081
2021-05-22,11.10909178
2021-05-23,11.15183669
2021-05-24,10.57215633
2021-05-25,10.71685029
2021-05-26,10.3796089
2021-05-27,10.60628747
2021-05-28,10.60806877
2021-05-29,10.63457878
2021-05-30,10.89393966
2021-05-31,10.82687488
2021-06-01,10.95761761
2021-06-02,10.54065737
2021-06-03,10.45554673
2021-06-04,10.59949748
2021-06-05,11.04588172
2021-06-06,11.52234191
2021-06-07,11.34734423
2021-06-08,11.57505258
2021-06-09,10.87052261
2021-06-10,10.91859971
2021-06-11,11.7289112
2021-06-12,12.3552438
2021-06-13,12.50978326
2021-06-14,13.09759974
2021-06-15,13.06058006
2021-06-16,13.15472692
2021-06-17,13.21953178
2021-06-18,13.70950155
2021-06-19,14.03037405
2021-06-20,14.09952605
2021-06-21,13.8102158
2021-06-22,13.53283397
2021-06-23,13.34737095
2021-06-24,13.64552297
2021-06-25,13.05270212
2021-06-26,12.54338309
2021-06-27,12.51023704
2021-06-28,11.49645527
2021-06-29,11.0640036
2021-06-30,10.91348824
2021-07-01,11.02021545
2021-07-02,11.59504505
2021-07-03,11.52909833
2021-07-04,11.21456868
2021-07-05,11.0544345
2021-07-06,11.24443203
2021-07-07,11.12431599
2021-07-08,11.67838468
2021-07-09,11.5316581
2021-07-10,11.62863107
2021-07-11,11.28259614
2021-07-12,11.80001114
2021-07-13,10.9893474
2021-07-14,10.50358016
2021-07-15,9.861485686
2021-07-16,10.03416379
2021-07-17,10.08627842
2021-07-18,9.553115618
2021-07-19,9.41233969
2021-07-20,9.747485639
2021-07-21,9.442697611
2021-07-22,9.941014579
2021-07-23,9.895098199
2021-07-24,9.531749701
2021-07-25,9.248624471
2021-07-26,9.232392818
2021-07-27,9.371470651
2021-07-28,10.70447637
2021-07-29,10.80789525
2021-07-30,10.23711276
2021-07-31,9.386162953
2021-08-01,9.596534917
2021-08-02,10.26465563
2021-08-03,10.52707705
2021-08-04,11.31493865
2021-08-05,12.11628343
2021-08-06,12.01820955
2021-08-07,12.38268926
2021-08-08,13.28355365
2021-08-09,14.27765592
2021-08-10,15.33083155
2021-08-11,15.91018951
2021-08-12,15.92287096
2021-08-13,16.04580246
2021-08-14,15.71461819
2021-08-15,15.5261249
2021-08-16,15.53723932
2021-08-17,15.5385465
2021-08-18,16.54513094
2021-08-19,16.71738749
2021-08-20,17.15379376
2021-08-21,16.87350767
2021-08-22,16.01998436
2021-08-23,15.74730154
2021-08-24,16.17500206
2021-08-25,16.43686264
2021-08-26,16.72761626
2021-08-27,16.68317242
2021-08-28,16.05986155
2021-08-29,15.95183003
2021-08-30,16.26091436
2021-08-31,17.51151503
2021-09-01,18.124238
2021-09-02,18.39935094
2021-09-03,18.60895766
2021-09-04,19.25965933
2021-09-05,19.39897911
2021-09-06,19.8167913
2021-09-07,20.17202384
2021-09-08,20.0292564
2021-09-09,20.48237962
2021-09-10,21.24176639
2021-09-11,21.44107894
2021-09-12,21.32805991
2021-09-13,20.52548866
2021-09-14,19.99965124
2021-09-15,20.30960671
2021-09-16,20.76375889
2021-09-17,21.18108986
2021-09-18,21.73002354
2021-09-19,22.38507705
2021-09-20,23.27109385
2021-09-21,23.10810298
2021-09-22,22.80780801
2021-09-23,22.45721597
2021-09-24,23.14323958
2021-09-25,24.25454098
2021-09-26,24.39029659
2021-09-27,24.24192076
2021-09-28,23.31085247
2021-09-29,23.11125888
2021-09-30,23.10119411
2021-10-01,23.55154135
2021-10-02,23.47918839
2021-10-03,23.58015145
2021-10-04,23.09946413
2021-10-05,22.50202793
2021-10-06,22.25599684
2021-10-07,21.59646221
2021-10-08,20.80239262
2021-10-09,20.50511703
2021-10-10,20.29541529
2021-10-11,20.38180606
2021-10-12,20.52471876
2021-10-13,20.77457048
2021-10-14,21.75312933
2021-10-15,21.40841468
2021-10-16,21.17654981
2021-10-17,21.08531565
2021-10-18,20.73978259
2021-10-19,20.7925411
2021-10-20,21.60332299
2021-10-21,20.78927347
2021-10-22,20.17024472
2021-10-23,19.86818033
2021-10-24,19.77301482
2021-10-25,20.01425707
2021-10-26,19.52097882
2021-10-27,18.43814072
2021-10-28,18.64671159
2021-10-29,18.95051579
2021-10-30,18.83960393
2021-10-31,18.31354062
2021-11-01,17.7969881
2021-11-02,17.81044493
2021-11-03,17.68630952
2021-11-04,17.49616085
2021-11-05,17.34578868
2021-11-06,18.23251653
2021-11-07,19.42845811
2021-11-08,19.57832686
2021-11-09,19.73615187
2021-11-10,20.13527699
2021-11-11,20.08228763
2021-11-12,20.50900464
2021-11-13,20.58125915
2021-11-14,20.77965065
2021-11-15,20.50631922
2021-11-16,20.59477812
2021-11-17,20.27971009
2021-11-18,19.94044816
2021-11-19,19.52679262
2021-11-20,19.69555778
2021-11-21,19.34297164
2021-11-22,19.42067267
2021-11-23,19.78043554
2021-11-24,19.87482205
2021-11-25,19.07356375
2021-11-26,18.60755878
2021-11-27,18.05845959
2021-11-28,18.04120951
2021-11-29,17.7917894
2021-11-30,17.23307158
2021-12-01,17.26777341
2021-12-02,16.77847659
2021-12-03,16.19784221
2021-12-04,15.46408174
2021-12-05,15.44200193
2021-12-06,15.18524849
2021-12-07,15.37956777
2021-12-08,15.29980182
2021-12-09,16.43135418
2021-12-10,17.39165351
2021-12-11,17.41567218
2021-12-12,17.07282932
2021-12-13,16.90275916
2021-12-14,16.42152911
2021-12-15,16.27720408
2021-12-16,16.638514
2021-12-17,16.66854395
2021-12-18,17.59501517
2021-12-19,18.40240253
2021-12-20,18.93028158
2021-12-21,19.07474653
2021-12-22,18.93172244
2021-12-23,18.52257206
2021-12-24,18.3513253
2021-12-25,18.83294272
2021-12-26,19.61689989
2021-12-27,19.96263596
2021-12-28,20.015708
2021-12-29,19.5663195
2021-12-30,19.13766496
2021-12-31,19.41546546
2022-01-01,19.41141311
2022-01-02,20.27007344
2022-01-03,21.05455237
2022-01-04,20.80103975
2022-01-05,20.49621756
2022-01-06,20.3322933
2022-01-07,20.76331504
2022-01-08,20.64435316
2022-01-09,20.00703063
2022-01-10,19.66406306
2022-01-11,18.85381876
2022-01-12,19.06842115
2022-01-13,19.12768412
2022-01-14,19.62877239
2022-01-15,19.32234915
2022-01-16,19.1164787
2022-01-17,19.12648854
2022-01-18,18.98216135
2022-01-19,19.10488759
2022-01-20,19.149343
2022-01-21,18.48729895
2022-01-22,18.04310885
2022-01-23,18.1742021
2022-01-24,18.18266181
2022-01-25,17.93060759
2022-01-26,17.50659816
2022-01-27,16.62133727
2022-01-28,16.24655262
2022-01-29,16.5833559
2022-01-30,16.54067996
2022-01-31,16.41540223
2022-02-01,15.83245152
2022-02-02,15.18698149
2022-02-03,15.53459058
2022-02-04,15.94869702
2022-02-05,16.28489266
2022-02-06,16.2192301
2022-02-07,16.630146
2022-02-08,16.07062587
2022-02-09,15.83854691
2022-02-10,15.74525264
2022-02-11,14.86282361
2022-02-12,15.11712332
2022-02-13,15.2353767
2022-02-14,15.33383198
2022-02-15,15.3280901
2022-02-16,15.2155601
2022-02-17,15.13816135
